letter,total_weight,num_selected_vertices,penalties,uncertain_edges,sum_of_weight,all_candidates_x,all_candidates_y,ICD,Bearing Entropy,Categorized Bearing Entropy,Graph Asymmetry,Normalized ICD,Normalized Bearing Entropy,Normalized Categorized Bearing Entropy,Normalized Graph Asymmetry,Skeletonization_Method,Path
ANC_Average-Regular_Approach1,4,2,0,2,4,60.0,120,2.02040816326531,6.62935662007962,3.19313480822017,746,0.6,1.0,1.0,0.7,Approach1,LSP
ANC_Average-Regular_Approach1,2,1,0,2,4,60.0,120,2.02040816326531,6.62935662007962,3.19313480822017,746,0.6,1.0,1.0,0.7,Approach1,LSP
AW_Average-Regular_Approach1,8,2,0,4,8,38.5,77,2.0,6.10852445677816,3.18110031780534,385,0.5,0.9,1.0,0.4,Approach1,LSP
AW_Average-Regular_Approach1,4,1,0,4,8,38.5,77,2.0,6.10852445677816,3.18110031780534,385,0.5,0.9,1.0,0.4,Approach1,LSP
AXF_Average-Regular_Approach1,4,1,0,2,4,70.0,140,2.01980198019802,6.6724253419715,3.2376829600243,702,0.6,1.0,1.0,0.7,Approach1,LSP
AZ_Average-Regular_Approach1,2,1,0,1,2,29.0,58,2.0,5.6724253419715,3.15470714601252,344,0.5,0.8,1.0,0.3,Approach1,LSP
AZH_Average-Regular_Approach1,2,1,0,1,2,60.5,121,2.02325581395349,6.44294349584872,3.14253400422803,649,0.6,0.9,1.0,0.6,Approach1,LSP
CU_Average-Regular_Approach1,4,1,0,2,4,38.5,77,2.0,5.58496250072116,3.13240470045258,259,0.5,0.8,1.0,0.3,Approach1,LSP
CUH_Average-Regular_Approach1,4,1,0,2,4,71.5,143,2.02020202020202,6.64385618977474,3.11785647457518,557,0.6,1.0,1.0,0.5,Approach1,LSP
CWC_Average-Regular_Approach1,9,2,0,4,9,48.0,96,2.02247191011236,6.49185309632966,3.11474093005516,537,0.6,1.0,1.0,0.5,Approach1,LSP
CWC_Average-Regular_Approach1,5,1,0,4,9,48.0,96,2.02247191011236,6.49185309632966,3.11474093005516,537,0.6,1.0,1.0,0.5,Approach1,LSP
DAQ_Average-Regular_Approach1,2,1,0,1,2,61.5,123,2.06451612903226,6.58496250072116,3.22182126345619,856,0.6,1.0,1.0,0.8,Approach1,LSP
DCJ_Average-Regular_Approach1,4,1,0,2,4,51.0,102,2.0,6.04439411935846,3.12784397234698,434,0.5,0.9,1.0,0.4,Approach1,LSP
DMP_Average-Regular_Approach1,2,1,0,1,2,67.5,135,2.03418803418803,6.89481776330794,3.16205059483975,1011,0.6,1.0,1.0,0.9,Approach1,LSP
