letter,all_candidates
A_Average-Regular_Approach1,36
ACI_Average-Regular_Approach1,87
AEJ_Average-Regular_Approach1,110
AEY_Average-Regular_Approach1,128
AJD_Average-Regular_Approach1,110
AKV_Average-Regular_Approach1,115
ANC_Average-Regular_Approach1,120
AOQ_Average-Regular_Approach1,107
ARV_Average-Regular_Approach1,119
AW_Average-Regular_Approach1,77
AX_Average-Regular_Approach1,92
AXF_Average-Regular_Approach1,140
AZ_Average-Regular_Approach1,58
AZH_Average-Regular_Approach1,121
AT_Average-Regular_Approach1,80
AJQ_Average-Regular_Approach1,101
B_Average-Regular_Approach1,53
BEV_Average-Regular_Approach1,128
BKQ_Average-Regular_Approach1,134
BLC_Average-Regular_Approach1,114
BO_Average-Regular_Approach1,86
BTM_Average-Regular_Approach1,149
BVD_Average-Regular_Approach1,130
BOC_Average-Regular_Approach1,115
CBS_Average-Regular_Approach1,116
CGY_Average-Regular_Approach1,118
CIO_Average-Regular_Approach1,74
COP_Average-Regular_Approach1,103
CRK_Average-Regular_Approach1,118
CU_Average-Regular_Approach1,77
CUH_Average-Regular_Approach1,143
CV_Average-Regular_Approach1,57
CWC_Average-Regular_Approach1,96
CXS_Average-Regular_Approach1,102
CVG_Average-Regular_Approach1,103
DAQ_Average-Regular_Approach1,123
DCJ_Average-Regular_Approach1,102
DGC_Average-Regular_Approach1,120
DGH_Average-Regular_Approach1,145
DI_Average-Regular_Approach1,75
DIH_Average-Regular_Approach1,125
DJI_Average-Regular_Approach1,103
DMF_Average-Regular_Approach1,145
DMP_Average-Regular_Approach1,135
DP_Average-Regular_Approach1,87
DU_Average-Regular_Approach1,97
DV_Average-Regular_Approach1,78
EDH_Average-Regular_Approach1,163
EHX_Average-Regular_Approach1,169
EL_Average-Regular_Approach1,85
EOB_Average-Regular_Approach1,128
EP_Average-Regular_Approach1,90
ER_Average-Regular_Approach1,97
ETC_Average-Regular_Approach1,131
EU_Average-Regular_Approach1,103
EVG_Average-Regular_Approach1,132
FHP_Average-Regular_Approach1,143
FL_Average-Regular_Approach1,85
FPJ_Average-Regular_Approach1,113
FSB_Average-Regular_Approach1,125
FUX_Average-Regular_Approach1,151
G_Average-Regular_Approach1,46
GC_Average-Regular_Approach1,76
GD_Average-Regular_Approach1,74
GEZ_Average-Regular_Approach1,107
GHJ_Average-Regular_Approach1,128
GM_Average-Regular_Approach1,89
GMU_Average-Regular_Approach1,130
GPS_Average-Regular_Approach1,104
GTB_Average-Regular_Approach1,133
GWG_Average-Regular_Approach1,118
HI_Average-Regular_Approach1,86
HKD_Average-Regular_Approach1,147
HO_Average-Regular_Approach1,100
HBV_Average-Regular_Approach1,138
IA_Average-Regular_Approach1,59
IB_Average-Regular_Approach1,63
IBY_Average-Regular_Approach1,105
IC_Average-Regular_Approach1,62
IH_Average-Regular_Approach1,86
IN_Average-Regular_Approach1,67
IP_Average-Regular_Approach1,54
IZ_Average-Regular_Approach1,46
JA_Average-Regular_Approach1,66
JB_Average-Regular_Approach1,82
JBR_Average-Regular_Approach1,121
JC_Average-Regular_Approach1,61
JCD_Average-Regular_Approach1,95
JD_Average-Regular_Approach1,76
JHR_Average-Regular_Approach1,132
JJ_Average-Regular_Approach1,60
JNY_Average-Regular_Approach1,120
JO_Average-Regular_Approach1,62
JRA_Average-Regular_Approach1,111
JXD_Average-Regular_Approach1,132
KGO_Average-Regular_Approach1,131
KIW_Average-Regular_Approach1,112
KJ_Average-Regular_Approach1,85
KJP_Average-Regular_Approach1,124
KJQ_Average-Regular_Approach1,121
KQF_Average-Regular_Approach1,143
LAC_Average-Regular_Approach1,102
LBP_Average-Regular_Approach1,121
LZT_Average-Regular_Approach1,101
