letter,total_weight,num_selected_vertices,penalties,uncertain_edges,sum_of_weight
A_Average-Regular_Approach1,12,4,0,5,12
A_Average-Regular_Approach1,8,1,0,5,12
A_Average-Regular_Approach1,10,3,0,5,12
ACI_Average-Regular_Approach1,13,3,0,6,13
ACI_Average-Regular_Approach1,6,1,0,6,13
ACI_Average-Regular_Approach1,10,2,0,6,13
AEJ_Average-Regular_Approach1,42,10,0,16,42
AEJ_Average-Regular_Approach1,8,1,0,16,42
AEJ_Average-Regular_Approach1,36,6,0,16,42
AEJ_Average-Regular_Approach1,16,2,0,16,42
AEJ_Average-Regular_Approach1,31,5,0,16,42
AEJ_Average-Regular_Approach1,22,3,0,16,42
AEJ_Average-Regular_Approach1,27,4,0,16,42
AEJ_Average-Regular_Approach1,40,9,0,16,42
AEJ_Average-Regular_Approach1,38,8,0,16,42
AEY_Average-Regular_Approach1,30,8,0,13,32
AEY_Average-Regular_Approach1,21,3,0,13,32
AEY_Average-Regular_Approach1,8,1,0,13,32
AEY_Average-Regular_Approach1,16,2,0,13,32
AEY_Average-Regular_Approach1,28,5,0,13,32
AEY_Average-Regular_Approach1,26,4,0,13,32
AJD_Average-Regular_Approach1,18,5,0,7,18
AJD_Average-Regular_Approach1,8,1,0,7,18
AJD_Average-Regular_Approach1,16,4,0,7,18
AJD_Average-Regular_Approach1,14,2,0,7,18
AKV_Average-Regular_Approach1,42,9,0,15,42
AKV_Average-Regular_Approach1,18,2,0,15,42
AKV_Average-Regular_Approach1,24,3,0,15,42
AKV_Average-Regular_Approach1,10,1,0,15,42
AKV_Average-Regular_Approach1,38,6,0,15,42
AKV_Average-Regular_Approach1,29,4,0,15,42
AKV_Average-Regular_Approach1,34,5,0,15,42
AKV_Average-Regular_Approach1,40,8,0,15,42
ANC_Average-Regular_Approach1,37,10,0,15,39
ANC_Average-Regular_Approach1,8,1,0,15,39
ANC_Average-Regular_Approach1,21,3,0,15,39
ANC_Average-Regular_Approach1,29,5,0,15,39
ANC_Average-Regular_Approach1,16,2,0,15,39
ANC_Average-Regular_Approach1,25,4,0,15,39
ANC_Average-Regular_Approach1,31,6,0,15,39
ANC_Average-Regular_Approach1,33,7,0,15,39
ANC_Average-Regular_Approach1,35,9,0,15,39
AOQ_Average-Regular_Approach1,26,5,0,11,26
AOQ_Average-Regular_Approach1,9,1,0,11,26
AOQ_Average-Regular_Approach1,16,2,0,11,26
AOQ_Average-Regular_Approach1,24,4,0,11,26
AOQ_Average-Regular_Approach1,22,3,0,11,26
ARV_Average-Regular_Approach1,38,8,0,15,40
ARV_Average-Regular_Approach1,21,3,0,15,40
ARV_Average-Regular_Approach1,26,4,0,15,40
ARV_Average-Regular_Approach1,9,1,0,15,40
ARV_Average-Regular_Approach1,15,2,0,15,40
ARV_Average-Regular_Approach1,30,5,0,15,40
ARV_Average-Regular_Approach1,34,6,0,15,40
ARV_Average-Regular_Approach1,36,7,0,15,40
AW_Average-Regular_Approach1,33,9,0,11,33
AW_Average-Regular_Approach1,9,1,0,11,33
AW_Average-Regular_Approach1,17,2,0,11,33
AW_Average-Regular_Approach1,31,8,0,11,33
AW_Average-Regular_Approach1,29,5,0,11,33
AW_Average-Regular_Approach1,27,4,0,11,33
AW_Average-Regular_Approach1,25,3,0,11,33
AX_Average-Regular_Approach1,18,5,0,7,18
AX_Average-Regular_Approach1,8,1,0,7,18
AX_Average-Regular_Approach1,14,2,0,7,18
AX_Average-Regular_Approach1,16,4,0,7,18
AXF_Average-Regular_Approach1,40,9,0,18,48
AXF_Average-Regular_Approach1,19,3,0,18,48
AXF_Average-Regular_Approach1,34,6,0,18,48
AXF_Average-Regular_Approach1,27,4,0,18,48
AXF_Average-Regular_Approach1,36,7,0,18,48
AXF_Average-Regular_Approach1,31,5,0,18,48
AXF_Average-Regular_Approach1,38,8,0,18,48
AZ_Average-Regular_Approach1,16,3,0,6,16
AZ_Average-Regular_Approach1,7,1,0,6,16
AZ_Average-Regular_Approach1,13,2,0,6,16
AZH_Average-Regular_Approach1,17,3,0,7,17
AZH_Average-Regular_Approach1,6,1,0,7,17
AZH_Average-Regular_Approach1,12,2,0,7,17
AT_Average-Regular_Approach1,12,4,0,5,12
AT_Average-Regular_Approach1,8,1,0,5,12
AT_Average-Regular_Approach1,10,3,0,5,12
AJQ_Average-Regular_Approach1,25,8,0,11,25
AJQ_Average-Regular_Approach1,8,1,0,11,25
AJQ_Average-Regular_Approach1,17,3,0,11,25
AJQ_Average-Regular_Approach1,13,2,0,11,25
AJQ_Average-Regular_Approach1,19,4,0,11,25
AJQ_Average-Regular_Approach1,21,5,0,11,25
AJQ_Average-Regular_Approach1,23,7,0,11,25
B_Average-Regular_Approach1,5,1,0,2,5
BEV_Average-Regular_Approach1,15,2,0,5,15
BEV_Average-Regular_Approach1,9,1,0,5,15
BKQ_Average-Regular_Approach1,13,3,0,5,13
BKQ_Average-Regular_Approach1,9,1,0,5,13
BKQ_Average-Regular_Approach1,11,2,0,5,13
BLC_Average-Regular_Approach1,16,2,0,7,16
BLC_Average-Regular_Approach1,10,1,0,7,16
BO_Average-Regular_Approach1,10,4,0,4,10
BO_Average-Regular_Approach1,3,1,0,4,10
BO_Average-Regular_Approach1,6,2,0,4,10
BO_Average-Regular_Approach1,8,3,0,4,10
BTM_Average-Regular_Approach1,20,4,0,9,20
BTM_Average-Regular_Approach1,14,2,0,9,20
BTM_Average-Regular_Approach1,8,1,0,9,20
BTM_Average-Regular_Approach1,18,3,0,9,20
BVD_Average-Regular_Approach1,21,3,0,7,21
BVD_Average-Regular_Approach1,11,1,0,7,21
BVD_Average-Regular_Approach1,19,2,0,7,21
BOC_Average-Regular_Approach1,12,4,0,6,14
BOC_Average-Regular_Approach1,7,2,0,6,14
BOC_Average-Regular_Approach1,4,1,0,6,14
BOC_Average-Regular_Approach1,10,3,0,6,14
CBS_Average-Regular_Approach1,40,7,0,17,40
CBS_Average-Regular_Approach1,11,1,0,17,40
CBS_Average-Regular_Approach1,26,3,0,17,40
CBS_Average-Regular_Approach1,19,2,0,17,40
CBS_Average-Regular_Approach1,38,6,0,17,40
CBS_Average-Regular_Approach1,30,4,0,17,40
CBS_Average-Regular_Approach1,34,5,0,17,40
CGY_Average-Regular_Approach1,16,3,0,6,16
CGY_Average-Regular_Approach1,7,1,0,6,16
CGY_Average-Regular_Approach1,12,2,0,6,16
CIO_Average-Regular_Approach1,19,4,0,7,19
CIO_Average-Regular_Approach1,13,1,0,7,19
CIO_Average-Regular_Approach1,17,3,0,7,19
CIO_Average-Regular_Approach1,15,2,0,7,19
COP_Average-Regular_Approach1,13,3,0,6,15
COP_Average-Regular_Approach1,7,1,0,6,15
COP_Average-Regular_Approach1,11,2,0,6,15
CRK_Average-Regular_Approach1,20,5,0,9,20
CRK_Average-Regular_Approach1,8,1,0,9,20
CRK_Average-Regular_Approach1,14,2,0,9,20
CRK_Average-Regular_Approach1,16,3,0,9,20
CRK_Average-Regular_Approach1,18,4,0,9,20
CU_Average-Regular_Approach1,12,2,0,3,12
CU_Average-Regular_Approach1,10,1,0,3,12
CUH_Average-Regular_Approach1,12,2,0,3,12
CUH_Average-Regular_Approach1,10,1,0,3,12
CV_Average-Regular_Approach1,19,3,0,6,19
CV_Average-Regular_Approach1,12,1,0,6,19
CV_Average-Regular_Approach1,17,2,0,6,19
CWC_Average-Regular_Approach1,38,9,0,16,38
CWC_Average-Regular_Approach1,22,3,0,16,38
CWC_Average-Regular_Approach1,8,1,0,16,38
CWC_Average-Regular_Approach1,16,2,0,16,38
CWC_Average-Regular_Approach1,34,7,0,16,38
CWC_Average-Regular_Approach1,30,5,0,16,38
CWC_Average-Regular_Approach1,28,4,0,16,38
CWC_Average-Regular_Approach1,36,8,0,16,38
CWC_Average-Regular_Approach1,32,6,0,16,38
CXS_Average-Regular_Approach1,19,3,0,6,19
CXS_Average-Regular_Approach1,11,1,0,6,19
CXS_Average-Regular_Approach1,16,2,0,6,19
CVG_Average-Regular_Approach1,14,3,0,5,14
CVG_Average-Regular_Approach1,8,1,0,5,14
CVG_Average-Regular_Approach1,12,2,0,5,14
DAQ_Average-Regular_Approach1,34,7,0,15,34
DAQ_Average-Regular_Approach1,12,1,0,15,34
DAQ_Average-Regular_Approach1,26,4,0,15,34
DAQ_Average-Regular_Approach1,22,3,0,15,34
DAQ_Average-Regular_Approach1,18,2,0,15,34
DAQ_Average-Regular_Approach1,32,6,0,15,34
DAQ_Average-Regular_Approach1,30,5,0,15,34
DCJ_Average-Regular_Approach1,20,4,0,9,20
DCJ_Average-Regular_Approach1,10,1,0,9,20
DCJ_Average-Regular_Approach1,16,2,0,9,20
DCJ_Average-Regular_Approach1,18,3,0,9,20
DGC_Average-Regular_Approach1,16,5,0,9,20
DGC_Average-Regular_Approach1,8,2,0,9,20
DGC_Average-Regular_Approach1,4,1,0,9,20
DGC_Average-Regular_Approach1,14,4,0,9,20
DGC_Average-Regular_Approach1,12,3,0,9,20
DGH_Average-Regular_Approach1,4,1,0,3,8
DI_Average-Regular_Approach1,4,1,0,2,4
DIH_Average-Regular_Approach1,4,1,0,2,4
DJI_Average-Regular_Approach1,8,2,0,4,8
DJI_Average-Regular_Approach1,4,1,0,4,8
DMF_Average-Regular_Approach1,20,4,0,8,20
DMF_Average-Regular_Approach1,12,1,0,8,20
DMF_Average-Regular_Approach1,16,2,0,8,20
DMF_Average-Regular_Approach1,18,3,0,8,20
DMP_Average-Regular_Approach1,25,4,0,9,25
DMP_Average-Regular_Approach1,9,1,0,9,25
DMP_Average-Regular_Approach1,17,2,0,9,25
DMP_Average-Regular_Approach1,23,3,0,9,25
DP_Average-Regular_Approach1,8,3,0,4,8
DP_Average-Regular_Approach1,4,1,0,4,8
DP_Average-Regular_Approach1,6,2,0,4,8
DU_Average-Regular_Approach1,4,2,0,2,4
DU_Average-Regular_Approach1,2,1,0,2,4
DV_Average-Regular_Approach1,9,1,0,2,9
EDH_Average-Regular_Approach1,14,3,0,6,14
EDH_Average-Regular_Approach1,8,1,0,6,14
EDH_Average-Regular_Approach1,12,2,0,6,14
EHX_Average-Regular_Approach1,24,4,0,8,24
EHX_Average-Regular_Approach1,20,3,0,8,24
EHX_Average-Regular_Approach1,7,1,0,8,24
EHX_Average-Regular_Approach1,14,2,0,8,24
EL_Average-Regular_Approach1,10,2,0,4,10
EL_Average-Regular_Approach1,8,1,0,4,10
EOB_Average-Regular_Approach1,11,3,0,6,13
EOB_Average-Regular_Approach1,5,1,0,6,13
EOB_Average-Regular_Approach1,9,2,0,6,13
EP_Average-Regular_Approach1,10,2,0,4,10
EP_Average-Regular_Approach1,8,1,0,4,10
ER_Average-Regular_Approach1,7,2,0,3,7
ER_Average-Regular_Approach1,5,1,0,3,7
ETC_Average-Regular_Approach1,12,2,0,6,12
ETC_Average-Regular_Approach1,8,1,0,6,12
EU_Average-Regular_Approach1,17,4,0,7,17
EU_Average-Regular_Approach1,6,1,0,7,17
EU_Average-Regular_Approach1,12,2,0,7,17
EU_Average-Regular_Approach1,15,3,0,7,17
EVG_Average-Regular_Approach1,10,2,0,3,10
