letter,total_weight,num_selected_vertices,penalties,uncertain_edges,sum_of_weight,all_candidates,all_candidates_y
A_Average-Regular_Approach1,12,4,0,5,12,76,76
A_Average-Regular_Approach1,8,1,0,5,12,76,76
A_Average-Regular_Approach1,10,3,0,5,12,76,76
ACI_Average-Regular_Approach1,13,3,0,6,13,180,180
ACI_Average-Regular_Approach1,6,1,0,6,13,180,180
ACI_Average-Regular_Approach1,10,2,0,6,13,180,180
AEJ_Average-Regular_Approach1,42,10,0,16,42,226,226
AEJ_Average-Regular_Approach1,8,1,0,16,42,226,226
AEJ_Average-Regular_Approach1,36,6,0,16,42,226,226
AEJ_Average-Regular_Approach1,16,2,0,16,42,226,226
AEJ_Average-Regular_Approach1,31,5,0,16,42,226,226
AEJ_Average-Regular_Approach1,22,3,0,16,42,226,226
AEJ_Average-Regular_Approach1,27,4,0,16,42,226,226
AEJ_Average-Regular_Approach1,40,9,0,16,42,226,226
AEJ_Average-Regular_Approach1,38,8,0,16,42,226,226
AEY_Average-Regular_Approach1,30,8,0,13,32,262,262
AEY_Average-Regular_Approach1,21,3,0,13,32,262,262
AEY_Average-Regular_Approach1,8,1,0,13,32,262,262
AEY_Average-Regular_Approach1,16,2,0,13,32,262,262
AEY_Average-Regular_Approach1,28,5,0,13,32,262,262
AEY_Average-Regular_Approach1,26,4,0,13,32,262,262
AJD_Average-Regular_Approach1,18,5,0,7,18,232,232
AJD_Average-Regular_Approach1,8,1,0,7,18,232,232
AJD_Average-Regular_Approach1,16,4,0,7,18,232,232
AJD_Average-Regular_Approach1,14,2,0,7,18,232,232
AKV_Average-Regular_Approach1,42,9,0,15,42,234,234
AKV_Average-Regular_Approach1,18,2,0,15,42,234,234
AKV_Average-Regular_Approach1,24,3,0,15,42,234,234
AKV_Average-Regular_Approach1,10,1,0,15,42,234,234
AKV_Average-Regular_Approach1,38,6,0,15,42,234,234
AKV_Average-Regular_Approach1,29,4,0,15,42,234,234
AKV_Average-Regular_Approach1,34,5,0,15,42,234,234
AKV_Average-Regular_Approach1,40,8,0,15,42,234,234
ANC_Average-Regular_Approach1,37,10,0,15,39,246,246
ANC_Average-Regular_Approach1,8,1,0,15,39,246,246
ANC_Average-Regular_Approach1,21,3,0,15,39,246,246
ANC_Average-Regular_Approach1,29,5,0,15,39,246,246
ANC_Average-Regular_Approach1,16,2,0,15,39,246,246
ANC_Average-Regular_Approach1,25,4,0,15,39,246,246
ANC_Average-Regular_Approach1,31,6,0,15,39,246,246
ANC_Average-Regular_Approach1,33,7,0,15,39,246,246
ANC_Average-Regular_Approach1,35,9,0,15,39,246,246
AOQ_Average-Regular_Approach1,26,5,0,11,26,232,232
AOQ_Average-Regular_Approach1,9,1,0,11,26,232,232
AOQ_Average-Regular_Approach1,16,2,0,11,26,232,232
AOQ_Average-Regular_Approach1,24,4,0,11,26,232,232
AOQ_Average-Regular_Approach1,22,3,0,11,26,232,232
ARV_Average-Regular_Approach1,38,8,0,15,40,246,246
ARV_Average-Regular_Approach1,21,3,0,15,40,246,246
ARV_Average-Regular_Approach1,26,4,0,15,40,246,246
ARV_Average-Regular_Approach1,9,1,0,15,40,246,246
ARV_Average-Regular_Approach1,15,2,0,15,40,246,246
ARV_Average-Regular_Approach1,30,5,0,15,40,246,246
ARV_Average-Regular_Approach1,34,6,0,15,40,246,246
ARV_Average-Regular_Approach1,36,7,0,15,40,246,246
AW_Average-Regular_Approach1,33,9,0,11,33,160,160
AW_Average-Regular_Approach1,9,1,0,11,33,160,160
AW_Average-Regular_Approach1,17,2,0,11,33,160,160
AW_Average-Regular_Approach1,31,8,0,11,33,160,160
AW_Average-Regular_Approach1,29,5,0,11,33,160,160
AW_Average-Regular_Approach1,27,4,0,11,33,160,160
AW_Average-Regular_Approach1,25,3,0,11,33,160,160
AX_Average-Regular_Approach1,18,5,0,7,18,188,188
AX_Average-Regular_Approach1,8,1,0,7,18,188,188
AX_Average-Regular_Approach1,14,2,0,7,18,188,188
AX_Average-Regular_Approach1,16,4,0,7,18,188,188
AXF_Average-Regular_Approach1,40,9,0,18,48,286,286
AXF_Average-Regular_Approach1,19,3,0,18,48,286,286
AXF_Average-Regular_Approach1,34,6,0,18,48,286,286
AXF_Average-Regular_Approach1,27,4,0,18,48,286,286
AXF_Average-Regular_Approach1,36,7,0,18,48,286,286
AXF_Average-Regular_Approach1,31,5,0,18,48,286,286
AXF_Average-Regular_Approach1,38,8,0,18,48,286,286
AZ_Average-Regular_Approach1,16,3,0,6,16,120,120
AZ_Average-Regular_Approach1,7,1,0,6,16,120,120
AZ_Average-Regular_Approach1,13,2,0,6,16,120,120
AZH_Average-Regular_Approach1,17,3,0,7,17,248,248
AZH_Average-Regular_Approach1,6,1,0,7,17,248,248
AZH_Average-Regular_Approach1,12,2,0,7,17,248,248
AT_Average-Regular_Approach1,12,4,0,5,12,164,164
