letter,total_weight,num_selected_vertices,penalties,uncertain_edges,sum_of_weight,all_candidates_x,all_candidates_y,ICD,Bearing Entropy,Categorized Bearing Entropy,Graph Asymmetry,Normalized ICD,Normalized Bearing Entropy,Normalized Categorized Bearing Entropy,Normalized Graph Asymmetry,Skeletonization_Method,Path
AKV_Average-Regular_Approach1,8,2,0,4,8,57.5,115,2.0,6.58496250072116,3.23120853112905,590,0.5,1.0,1.0,0.6,Approach1,LSP
AKV_Average-Regular_Approach1,6,1,0,4,8,57.5,115,2.0,6.58496250072116,3.23120853112905,590,0.5,1.0,1.0,0.6,Approach1,LSP
ANC_Average-Regular_Approach1,6,1,0,2,6,60.0,120,2.02040816326531,6.62935662007962,3.19313480822017,746,0.6,1.0,1.0,0.7,Approach1,LSP
ARV_Average-Regular_Approach1,4,1,0,2,4,59.5,119,2.02272727272727,6.47573343096641,3.23581789314426,544,0.6,1.0,1.0,0.5,Approach1,LSP
AW_Average-Regular_Approach1,8,2,0,4,8,38.5,77,2.0,6.10852445677816,3.18110031780534,385,0.5,0.9,1.0,0.4,Approach1,LSP
AW_Average-Regular_Approach1,4,1,0,4,8,38.5,77,2.0,6.10852445677816,3.18110031780534,385,0.5,0.9,1.0,0.4,Approach1,LSP
BEV_Average-Regular_Approach1,4,1,0,2,4,64.0,128,2.06896551724138,6.49185309632966,3.2536911229762,742,0.6,1.0,1.0,0.7,Approach1,LSP
BVD_Average-Regular_Approach1,4,1,0,2,4,65.0,130,2.04878048780488,6.39231742277876,3.23778182397043,589,0.6,0.9,1.0,0.6,Approach1,LSP
CV_Average-Regular_Approach1,4,1,0,2,4,28.5,57,2.0,5.58496250072116,3.1600343165835,275,0.5,0.8,1.0,0.3,Approach1,LSP
CWC_Average-Regular_Approach1,4,1,0,2,4,48.0,96,2.02247191011236,6.49185309632966,3.11474093005516,537,0.6,1.0,1.0,0.5,Approach1,LSP
DAQ_Average-Regular_Approach1,6,1,0,3,6,61.5,123,2.06451612903226,6.58496250072116,3.22182126345619,856,0.6,1.0,1.0,0.8,Approach1,LSP
DMF_Average-Regular_Approach1,4,1,0,2,4,72.5,145,2.04918032786885,6.9657842846621,3.15928831321973,909,0.6,1.0,1.0,0.8,Approach1,LSP
DMP_Average-Regular_Approach1,9,2,0,4,9,67.5,135,2.03418803418803,6.89481776330794,3.16205059483975,1011,0.6,1.0,1.0,0.9,Approach1,LSP
DMP_Average-Regular_Approach1,5,1,0,4,9,67.5,135,2.03418803418803,6.89481776330794,3.16205059483975,1011,0.6,1.0,1.0,0.9,Approach1,LSP
EVG_Average-Regular_Approach1,4,1,0,2,4,66.0,132,1.97938144329897,6.58496250072116,3.12423784630263,531,0.5,1.0,1.0,0.5,Approach1,LSP
GWG_Average-Regular_Approach1,8,2,0,4,8,59.0,118,2.0,6.53915881110804,3.13472161594419,553,0.5,1.0,1.0,0.5,Approach1,LSP
GWG_Average-Regular_Approach1,4,1,0,4,8,59.0,118,2.0,6.53915881110804,3.13472161594419,553,0.5,1.0,1.0,0.5,Approach1,LSP
IA_Average-Regular_Approach1,4,1,0,2,4,29.5,59,2.0,5.58496250072116,3.12542382549262,329,0.5,0.8,1.0,0.3,Approach1,LSP
IN_Average-Regular_Approach1,5,1,0,2,5,33.5,67,1.95918367346939,5.58496250072116,3.21432812693322,316,0.5,0.8,1.0,0.3,Approach1,LSP
IZ_Average-Regular_Approach1,4,1,0,2,4,23.0,46,2.0,5.16992500144231,3.12870434990442,281,0.5,0.8,1.0,0.3,Approach1,LSP
JNY_Average-Regular_Approach1,5,1,0,2,5,60.0,120,2.0,6.28540221886226,3.19286229364679,580,0.5,0.9,1.0,0.6,Approach1,LSP
KIW_Average-Regular_Approach1,10,2,0,4,10,56.0,112,2.01923076923077,6.71424551766611,3.25530726567371,804,0.6,1.0,1.0,0.7,Approach1,LSP
KIW_Average-Regular_Approach1,6,1,0,4,10,56.0,112,2.01923076923077,6.71424551766611,3.25530726567371,804,0.6,1.0,1.0,0.7,Approach1,LSP
LWC_Average-Regular_Approach1,8,2,0,4,8,56.5,113,2.02040816326531,6.62935662007962,3.10757694449921,554,0.6,1.0,1.0,0.5,Approach1,LSP
LWC_Average-Regular_Approach1,4,1,0,4,8,56.5,113,2.02040816326531,6.62935662007962,3.10757694449921,554,0.6,1.0,1.0,0.5,Approach1,LSP
MB_Average-Regular_Approach1,8,1,0,2,8,48.5,97,2.04651162790698,6.45943161863731,3.12434206090079,668,0.6,1.0,1.0,0.6,Approach1,LSP
MMK_Average-Regular_Approach1,18,4,0,8,18,73.0,146,2.01398601398601,7.16992500144233,3.16029413619041,1155,0.6,1.0,1.0,1.0,Approach1,LSP
MMK_Average-Regular_Approach1,8,1,0,8,18,73.0,146,2.01398601398601,7.16992500144233,3.16029413619041,1155,0.6,1.0,1.0,1.0,Approach1,LSP
MMK_Average-Regular_Approach1,12,2,0,8,18,73.0,146,2.01398601398601,7.16992500144233,3.16029413619041,1155,0.6,1.0,1.0,1.0,Approach1,LSP
MMK_Average-Regular_Approach1,16,3,0,8,18,73.0,146,2.01398601398601,7.16992500144233,3.16029413619041,1155,0.6,1.0,1.0,1.0,Approach1,LSP
MNW_Average-Regular_Approach1,30,6,0,12,30,66.5,133,2.0,7.02236781302846,3.16585860812973,976,0.5,1.0,1.0,0.9,Approach1,LSP
MNW_Average-Regular_Approach1,8,1,0,12,30,66.5,133,2.0,7.02236781302846,3.16585860812973,976,0.5,1.0,1.0,0.9,Approach1,LSP
MNW_Average-Regular_Approach1,28,5,0,12,30,66.5,133,2.0,7.02236781302846,3.16585860812973,976,0.5,1.0,1.0,0.9,Approach1,LSP
MNW_Average-Regular_Approach1,24,4,0,12,30,66.5,133,2.0,7.02236781302846,3.16585860812973,976,0.5,1.0,1.0,0.9,Approach1,LSP
MNW_Average-Regular_Approach1,16,2,0,12,30,66.5,133,2.0,7.02236781302846,3.16585860812973,976,0.5,1.0,1.0,0.9,Approach1,LSP
MNW_Average-Regular_Approach1,20,3,0,12,30,66.5,133,2.0,7.02236781302846,3.16585860812973,976,0.5,1.0,1.0,0.9,Approach1,LSP
MP_Average-Regular_Approach1,4,1,0,2,4,44.0,88,2.02380952380952,6.40939093613771,3.11495728751912,639,0.6,0.9,1.0,0.6,Approach1,LSP
NB_Average-Regular_Approach1,4,1,0,2,4,48.5,97,2.04444444444444,6.52356195605703,3.10590405820741,565,0.6,1.0,1.0,0.5,Approach1,LSP
ND_Average-Regular_Approach1,8,2,0,4,8,45.5,91,2.0,6.47573343096641,3.09392455119225,509,0.5,1.0,1.0,0.5,Approach1,LSP
ND_Average-Regular_Approach1,4,1,0,4,8,45.5,91,2.0,6.47573343096641,3.09392455119225,509,0.5,1.0,1.0,0.5,Approach1,LSP
NJY_Average-Regular_Approach1,10,1,0,4,10,64.0,128,2.0,6.39231742277876,3.21825851152016,637,0.5,0.9,1.0,0.6,Approach1,LSP
NPP_Average-Regular_Approach1,6,1,0,2,6,64.0,128,2.03508771929825,6.85798099512756,3.13601927926185,780,0.6,1.0,1.0,0.7,Approach1,LSP
NWF_Average-Regular_Approach1,14,3,0,6,14,69.0,138,1.98165137614679,6.75488750216346,3.23168755794901,714,0.5,1.0,1.0,0.7,Approach1,LSP
NWF_Average-Regular_Approach1,6,1,0,6,14,69.0,138,1.98165137614679,6.75488750216346,3.23168755794901,714,0.5,1.0,1.0,0.7,Approach1,LSP
NWF_Average-Regular_Approach1,10,2,0,6,14,69.0,138,1.98165137614679,6.75488750216346,3.23168755794901,714,0.5,1.0,1.0,0.7,Approach1,LSP
NWW_Average-Regular_Approach1,22,6,0,10,22,61.5,123,1.98214285714286,6.79441586635012,3.23153578639523,722,0.5,1.0,1.0,0.7,Approach1,LSP
NWW_Average-Regular_Approach1,6,1,0,10,22,61.5,123,1.98214285714286,6.79441586635012,3.23153578639523,722,0.5,1.0,1.0,0.7,Approach1,LSP
NWW_Average-Regular_Approach1,10,2,0,10,22,61.5,123,1.98214285714286,6.79441586635012,3.23153578639523,722,0.5,1.0,1.0,0.7,Approach1,LSP
NWW_Average-Regular_Approach1,14,3,0,10,22,61.5,123,1.98214285714286,6.79441586635012,3.23153578639523,722,0.5,1.0,1.0,0.7,Approach1,LSP
